"","ASV_code","Sample","Count","Relative_Abundance"
"384","ASV64","SCF055-5",0,0
"385","ASV65","SCF049-1",869,0.000923098168144084
"386","ASV65","SCF049-2",0,0
"387","ASV65","SCF049-3",0,0
"388","ASV65","SCF055-1",0,0
"389","ASV65","SCF055-4",0,0
"390","ASV65","SCF055-5",0,0
"391","ASV66","SCF049-1",855,0.000908226621131406
"392","ASV66","SCF049-2",0,0
"393","ASV66","SCF049-3",0,0
"394","ASV66","SCF055-1",0,0
"395","ASV66","SCF055-4",0,0
"396","ASV66","SCF055-5",0,0
"397","ASV67","SCF049-1",0,0
"398","ASV67","SCF049-2",0,0
"399","ASV67","SCF049-3",0,0
"400","ASV67","SCF055-1",0,0
"401","ASV67","SCF055-4",845,0.00128910999540802
"402","ASV67","SCF055-5",0,0
"403","ASV68","SCF049-1",0,0
"404","ASV68","SCF049-2",0,0
"405","ASV68","SCF049-3",0,0
"406","ASV68","SCF055-1",0,0
"407","ASV68","SCF055-4",842,0.00128453327353083
"408","ASV68","SCF055-5",0,0
"409","ASV69","SCF049-1",833,0.000884857047254341
"410","ASV69","SCF049-2",0,0
"411","ASV69","SCF049-3",0,0
"412","ASV69","SCF055-1",0,0
"413","ASV69","SCF055-4",0,0
"414","ASV69","SCF055-5",0,0
"415","ASV70","SCF049-1",0,0
"416","ASV70","SCF049-2",0,0
"417","ASV70","SCF049-3",0,0
"418","ASV70","SCF055-1",0,0
"419","ASV70","SCF055-4",808,0.0012326637589227
"420","ASV70","SCF055-5",0,0
"421","ASV71","SCF049-1",0,0
"422","ASV71","SCF049-2",0,0
"423","ASV71","SCF049-3",0,0
"424","ASV71","SCF055-1",0,0
"425","ASV71","SCF055-4",0,0
"426","ASV71","SCF055-5",766,0.00182047631835996
"427","ASV72","SCF049-1",0,0
"428","ASV72","SCF049-2",755,0.00241258763604757
"429","ASV72","SCF049-3",0,0
"430","ASV72","SCF055-1",0,0
"431","ASV72","SCF055-4",0,0
"432","ASV72","SCF055-5",0,0
"433","ASV73","SCF049-1",0,0
"434","ASV73","SCF049-2",0,0
"435","ASV73","SCF049-3",0,0
"436","ASV73","SCF055-1",741,0.00314316012725345
"437","ASV73","SCF055-4",0,0
"438","ASV73","SCF055-5",0,0
"439","ASV74","SCF049-1",720,0.000764822417794868
"440","ASV74","SCF049-2",0,0
"441","ASV74","SCF049-3",0,0
"442","ASV74","SCF055-1",0,0
"443","ASV74","SCF055-4",0,0
"444","ASV74","SCF055-5",0,0
"445","ASV75","SCF049-1",0,0
"446","ASV75","SCF049-2",0,0
"447","ASV75","SCF049-3",0,0
"448","ASV75","SCF055-1",0,0
"449","ASV75","SCF055-4",0,0
"450","ASV75","SCF055-5",693,0.00164698444990006
"451","ASV76","SCF049-1",0,0
"452","ASV76","SCF049-2",0,0
"453","ASV76","SCF049-3",0,0
"454","ASV76","SCF055-1",0,0
"455","ASV76","SCF055-4",0,0
"456","ASV76","SCF055-5",670,0.00159232262833051
"457","ASV77","SCF049-1",0,0
"458","ASV77","SCF049-2",0,0
"459","ASV77","SCF049-3",0,0
"460","ASV77","SCF055-1",664,0.00281654294803818
"461","ASV77","SCF055-4",0,0
"462","ASV77","SCF055-5",0,0
"463","ASV78","SCF049-1",656,0.000696838202879769
"464","ASV78","SCF049-2",0,0
"465","ASV78","SCF049-3",0,0
"466","ASV78","SCF055-1",0,0
"467","ASV78","SCF055-4",0,0
"468","ASV78","SCF055-5",0,0
"469","ASV79","SCF049-1",622,0.000660721588706122
"470","ASV79","SCF049-2",0,0
"471","ASV79","SCF049-3",0,0
"472","ASV79","SCF055-1",0,0
"473","ASV79","SCF055-4",0,0
"474","ASV79","SCF055-5",0,0
"475","ASV80","SCF049-1",0,0
"476","ASV80","SCF049-2",0,0
"477","ASV80","SCF049-3",616,0.00129708513805745
"478","ASV80","SCF055-1",0,0
"479","ASV80","SCF055-4",0,0
"480","ASV80","SCF055-5",0,0
"481","ASV81","SCF049-1",601,0.000638414268187105
"482","ASV81","SCF049-2",0,0
"483","ASV81","SCF049-3",0,0
"484","ASV81","SCF055-1",0,0
"485","ASV81","SCF055-4",0,0
"486","ASV81","SCF055-5",0,0
"487","ASV82","SCF049-1",356,0.00037816219546524
"488","ASV82","SCF049-2",240,0.00076691527503499
"489","ASV82","SCF049-3",0,0
"490","ASV82","SCF055-1",0,0
"491","ASV82","SCF055-4",0,0
"492","ASV82","SCF055-5",0,0
"493","ASV83","SCF049-1",0,0
"494","ASV83","SCF049-2",0,0
"495","ASV83","SCF049-3",0,0
"496","ASV83","SCF055-1",0,0
"497","ASV83","SCF055-4",0,0
"498","ASV83","SCF055-5",595,0.001414077557995
"499","ASV84","SCF049-1",0,0
"500","ASV84","SCF049-2",583,0.0018629650222725
"501","ASV84","SCF049-3",0,0
"502","ASV84","SCF055-1",0,0
"503","ASV84","SCF055-4",0,0
"504","ASV84","SCF055-5",0,0
"505","ASV85","SCF049-1",0,0
"506","ASV85","SCF049-2",0,0
"507","ASV85","SCF049-3",0,0
"508","ASV85","SCF055-1",0,0
"509","ASV85","SCF055-4",582,0.00088788404417452
"510","ASV85","SCF055-5",0,0
"511","ASV86","SCF049-1",0,0
"512","ASV86","SCF049-2",0,0
"513","ASV86","SCF049-3",581,0.00122338711884964
"514","ASV86","SCF055-1",0,0
"515","ASV86","SCF055-4",0,0
"516","ASV86","SCF055-5",0,0
"517","ASV87","SCF049-1",213,0.000226259965264315
"518","ASV87","SCF049-2",127,0.000405825999706016
"519","ASV87","SCF049-3",232,0.000488512584463194
"520","ASV87","SCF055-1",0,0
"521","ASV87","SCF055-4",0,0
"522","ASV87","SCF055-5",0,0
"523","ASV88","SCF049-1",0,0
"524","ASV88","SCF049-2",0,0
"525","ASV88","SCF049-3",554,0.00116653436117504
"526","ASV88","SCF055-1",0,0
"527","ASV88","SCF055-4",0,0
"528","ASV88","SCF055-5",0,0
"529","ASV89","SCF049-1",0,0
"530","ASV89","SCF049-2",0,0
"531","ASV89","SCF049-3",0,0
"532","ASV89","SCF055-1",0,0
"533","ASV89","SCF055-4",552,0.000842116825402637
"534","ASV89","SCF055-5",0,0
"535","ASV90","SCF049-1",0,0
"536","ASV90","SCF049-2",0,0
"537","ASV90","SCF049-3",544,0.00114547778425852
"538","ASV90","SCF055-1",0,0
"539","ASV90","SCF055-4",0,0
"540","ASV90","SCF055-5",0,0
"541","ASV91","SCF049-1",543,0.000576803573420296
"542","ASV91","SCF049-2",0,0
"543","ASV91","SCF049-3",0,0
"544","ASV91","SCF055-1",0,0
"545","ASV91","SCF055-4",0,0
"546","ASV91","SCF055-5",0,0
"547","ASV92","SCF049-1",0,0
